Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Valid
France,2023,Fruits & Vegetables,46299.69,40551.22,120.19,953.05,31.91,Keep
France,2023,Beverages,33096.57,36980.82,104.74,1105.47,36.06,Keep
India,2024,Fruits & Vegetables,11962.89,11196.04,136.21,1311.91,37.09,Keep
Germany,2024,Prepared Food,45038.72,39191.25,179.27,1349.45,68.93,Keep
South Africa,2024,Frozen Food,39478.7,40087.26,155.55,375.84,31.16,Keep
USA,2024,Beverages,22924.85,22406.24,89.59,836.05,45.43,Keep
India,2023,Meat & Seafood,33403.26,39125.38,137.6,1299.21,36.55,Keep
Italy,2023,Fruits & Vegetables,30875.29,31341.6,198.26,349.04,52.64,Keep
Saudi Arabia,2024,Prepared Food,33085.77,28923.13,37.71,552.45,38.96,Keep
Indonesia,2024,Frozen Food,26812.66,28028.3,57,891.66,48.81,Keep
South Korea,2023,Frozen Food,29848.3,27362.18,47.82,1131.8,49.97,Keep
Brazil,2024,Grains & Cereals,39420.56,34541.01,65.63,513.73,56.49,Keep
Brazil,2024,Prepared Food,37292.94,35268.41,80.6,619.76,57,Keep
Japan,2023,Bakery Items,40398.07,48103.94,177.95,367.79,32.26,Keep
China,2024,Frozen Food,11766.79,11890.12,21.26,84.69,37.22,Keep
Italy,2024,Fruits & Vegetables,20238.65,18395.86,22.64,467.6,50.9,Keep
UK,2023,Grains & Cereals,23609.83,25520.57,152.21,272.87,66.14,Keep
South Korea,2024,Grains & Cereals,38427.68,31258.66,92.89,952.23,40.69,Keep
Germany,2023,Bakery Items,33550.41,32946.48,193.85,1333.3,55.02,Keep
UK,2023,Meat & Seafood,30022.09,24487.08,92.64,1278.03,54.63,Keep
Canada,2024,Frozen Food,29007.66,28622.38,34.53,1327.02,56.87,Keep
Italy,2023,Dairy Products,46189.14,42351.8,150.95,253.83,33.01,Keep
Saudi Arabia,2024,Fruits & Vegetables,1104.56,1300.14,134.77,906.42,37.85,Keep
Turkey,2024,Frozen Food,49640.44,43002.21,147.97,1199.99,66.46,Keep
Germany,2024,Fruits & Vegetables,26111.99,21589.27,168.69,1172.25,50.31,Keep
Saudi Arabia,2023,Dairy Products,12894.18,13051.48,160.37,418.74,46.87,Keep
Germany,2023,Prepared Food,46296.01,45513.35,53.07,754.61,34.16,Keep
Indonesia,2023,Prepared Food,35998.11,32227.85,69.8,672.05,48.3,Keep
India,2024,Bakery Items,19940.67,16685,69.49,1246.79,54.64,Keep
India,2024,Beverages,25894.46,23584.07,85.66,1317.81,64.46,Keep
Japan,2024,Grains & Cereals,6206.67,5227.1,109.03,1303.51,63.17,Keep
UK,2023,Prepared Food,6158.59,5344.53,52.96,271.03,39.15,Keep
France,2023,Prepared Food,45216.87,53291.62,199.27,1258.49,66.59,Keep
UK,2023,Beverages,37270.62,43998.68,148.18,459.9,41.16,Keep
