Slno,Area,Year,Rural population,Urban population,Urbanization Rate,"Abaca, manila hemp, raw","Agave fibres, raw, n.e.c.","Almonds, in shell","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Apples,Apricots,Areca nuts,Artichokes,Asparagus,Avocados,"Bambara beans, dry",Bananas,Barley,"Beans, dry",Beeswax,Blueberries,"Brazil nuts, in shell","Broad beans and horse beans, dry","Broad beans and horse beans, green",Buckwheat,"Buffalo fat, unrendered",Cabbages,Canary seed,Cantaloupes and other melons,Carrots and turnips,"Cashew nuts, in shell",Cashewapple,Cassava leaves,"Cassava, fresh",Castor oil seeds,"Cattle fat, unrendered",Cauliflowers and broccoli,Cereals n.e.c.,Cherries,"Chestnuts, in shell","Chick peas, dry",Chicory roots,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Cinnamon and cinnamon-tree flowers, raw","Cloves (whole stems), raw",Cocoa beans,"Coconuts, in shell","Coffee, green","Coir, raw","Cow peas, dry",Cranberries,Cucumbers and gherkins,Currants,Dates,"Edible offal of buffalo, fresh, chilled or frozen","Edible offal of cattle, fresh, chilled or frozen","Edible offal of goat, fresh, chilled or frozen","Edible offal of pigs, fresh, chilled or frozen","Edible offal of sheep, fresh, chilled or frozen","Edible offals of camels and other camelids, fresh, chilled or frozen","Edible offals of horses and other equines,  fresh, chilled or frozen","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Eggplants (aubergines),"Eggs from other birds in shell, fresh, n.e.c.",Fat of camels,Fat of pigs,Figs,"Flax, raw or retted",Fonio,"Game meat, fresh, chilled or frozen","Ginger, raw","Goat fat, unrendered",Gooseberries,Grapes,Green corn (maize),Green garlic,"Groundnuts, excluding shelled","Hazelnuts, in shell",Hempseed,"Hen eggs in shell, fresh",Hop cones,"Horse meat, fresh or chilled",Jojoba seeds,"Jute, raw or retted",Kapok fruit,Karite nuts (sheanuts),"Kenaf, and other textile bast fibres, raw or retted",Kiwi fruit,Kola nuts,Leeks and other alliaceous vegetables,Lemons and limes,"Lentils, dry",Lettuce and chicory,Linseed,Locust beans (carobs),Lupins,Maize (corn),"Mangoes, guavas and mangosteens",Maté leaves,"Meat of asses, fresh or chilled","Meat of buffalo, fresh or chilled","Meat of camels, fresh or chilled","Meat of cattle with the bone, fresh or chilled","Meat of chickens, fresh or chilled","Meat of ducks, fresh or chilled","Meat of geese, fresh or chilled","Meat of goat, fresh or chilled","Meat of mules, fresh or chilled","Meat of other domestic camelids, fresh or chilled","Meat of other domestic rodents, fresh or chilled","Meat of pig with the bone, fresh or chilled","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","Meat of rabbits and hares, fresh or chilled","Meat of sheep, fresh or chilled","Meat of turkeys, fresh or chilled",Melonseed,Millet,Mixed grain,Mushrooms and truffles,Mustard seed,Natural honey,Natural rubber in primary forms,"Nutmeg, mace, cardamoms, raw",Oats,Oil palm fruit,Okra,Olives,"Onions and shallots, dry (excluding dehydrated)","Onions and shallots, green",Oranges,"Other beans, green",Other berries and fruits of the genus vaccinium n.e.c.,"Other citrus fruit, n.e.c.","Other fibre crops, raw, n.e.c.","Other fruits, n.e.c.","Other meat of mammals, fresh or chilled","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Other oil seeds, n.e.c.",Other pome fruits,Other pulses n.e.c.,"Other stimulant, spice and aromatic crops, n.e.c.",Other stone fruits,Other sugar crops n.e.c.,"Other tropical fruits, n.e.c.","Other vegetables, fresh n.e.c.",Papayas,Peaches and nectarines,Pears,"Peas, dry","Peas, green","Pepper (Piper spp.), raw","Peppermint, spearmint",Persimmons,"Pigeon peas, dry",Pineapples,"Pistachios, in shell",Plantains and cooking bananas,Plums and sloes,Pomelos and grapefruits,Poppy seed,Potatoes,"Pumpkins, squash and gourds","Pyrethrum, dried flowers",Quinces,Quinoa,"Ramie, raw or retted",Rape or colza seed,Raspberries,Raw hides and skins of buffaloes,Raw hides and skins of cattle,Raw hides and skins of goats or kids,Raw hides and skins of sheep or lambs,Raw milk of buffalo,Raw milk of camel,Raw milk of cattle,Raw milk of goats,Raw milk of sheep,Rice,Rye,Safflower seed,"Seed cotton, unginned",Sesame seed,"Sheep fat, unrendered","Shorn wool, greasy, including fleece-washed shorn wool",Silk-worm cocoons suitable for reeling,"Sisal, raw","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",Sorghum,Sour cherries,Soya beans,Spinach,Strawberries,String beans,Sugar beet,Sugar cane,Sunflower seed,Sweet potatoes,Tallowtree seeds,"Tangerines, mandarins, clementines",Taro,Tea leaves,Tomatoes,Triticale,"True hemp, raw or retted",Tung nuts,Unmanufactured tobacco,"Vanilla, raw",Vetches,"Walnuts, in shell",Watermelons,Wheat,Yams,Yautia,Food Price Index,Average dietary energy requirement (kcal/cap/day),Percentage of children under 5 years affected by wasting (percent),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Agricultural land,Agriculture,Arable land,Cropland,Farm buildings and Farmyards,Perm. meadows & pastures - Cultivated,Perm. meadows & pastures - Nat. growing,Permanent crops,Permanent meadows and pastures,Temporary crops,Temporary fallow,Temporary meadows and pastures,Nutrient balance
0,Afghanistan,2020,28150.604,9904.337,0.351833907,0,0,39307,17965.9,270857,131788,0,0,0,0,0,0,127757,0,0,0,0,0,0,0,0,0,0,793496,0,0,0,0,0,0,2173.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15551.05,9116.41,0,22458.33,547.19,0,0,0,0,255.36,0,15994,0,0,7999.95,0,1727.32,0,993382,0,0,0,0,0,442340.87,0,0,0,0,0,0,0,0,0,0,0,0,0,34216,0,0,271776,0,0,0,0,3647.96,88624.27,28512.87,0,0,47021.47,0,0,0,0,0,0,110000,0,0,1895,0,0,1298,1721.63,0,0,0,0,0,8021.47,326006,0,3001,0,27772,3775,0,62117.47,0,4300,0,0,43855.34,20,50085.44,0,0,596012.04,0,70012,18020,0,0,0,0,0,0,0,2796.27,0,29872,0,0,855395,0,0,0,0,0,0,0,0,14547.76,7101.2,17416.67,0,6860.91,1858668.77,115718.48,196916.6,655400,0,0,74062,41855,6187.5,14438.35,500,0,0,0,0,0,0,0,0,5032,40292,387,0,0,0,0,0,0,0,0,0,0,0,0,14877,990318,5185000,0,0,127.61,2134,0,22.6,27.7,38313,38313,7829,8051,0,0,30262,222,30262,3834,3995,0,1.575433333
1,Afghanistan,2021,28674.023,10239.684,0.35710664,0,0,64256,17876.49,321672,207490,0,0,0,0,0,0,65102,0,0,0,0,0,0,0,0,0,0,763382.89,0,0,0,0,0,0,2006.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14350.88,9067.81,0,21437.5,549.87,0,0,0,0,256.61,0,59755.66,0,0,8004.5,0,1718.11,0,993884,0,0,0,0,0,449853.62,0,0,0,0,0,0,0,0,0,0,0,0,0,31165,0,0,264314,0,0,0,0,3665.81,81784.56,28210.69,0,0,46770.8,0,0,0,0,0,0,105000,0,0,1550,0,0,1139,1623.21,0,0,0,0,0,7676.13,533000,0,11972.44,0,33560.6,24752.98,0,61892.29,0,4200,0,0,49161.04,11,48924.66,0,0,762402.53,0,102560,32000,0,0,0,0,0,0,0,2784.09,0,57304.27,0,0,879371,0,0,0,0,0,0,0,0,13425.01,7063.34,16625,0,6858.9,1880721.9,116891.74,195914.11,622300,0,0,77680,19000,5906.25,13915.09,500,0,0,0,0,0,0,0,0,5196,41434,693.52,0,0,0,0,0,0,0,0,0,0,0,0,23360,935859.12,4017657,0,0,134.66,2138,0,28.4,29.4,38313,38313,7829,8051,0,0,30262,222,30262,3834,3995,0,1.844533333
2,Afghanistan,2022,29191.512,10587.583,0.362693889,0,0,63515,17883.38,318402,170508,0,0,0,0,0,0,94687,0,0,0,0,0,0,0,0,0,0,762542.69,0,0,0,0,0,0,1878.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13438.07,9126.15,0,20825,550.83,0,0,0,0,257.05,0,58035.99,0,0,8007.69,0,1729.17,0,909792,0,0,0,0,0,450511.97,0,0,0,0,0,0,0,0,0,0,0,0,0,28579,0,0,311000,0,0,0,0,3672.2,76582.55,28503.14,0,0,47071.74,0,0,0,0,0,0,102000,0,0,1913,0,0,1475,1515.99,0,0,0,0,0,7730.68,541000,0,10611.25,0,32883.72,21972.26,0,61977.16,0,4137.95,0,0,51525.81,10.89,49164.9,0,0,759490.58,0,101459,32000,0,0,0,0,0,0,0,2793.21,0,55254.9,0,0,889000,0,0,0,0,0,0,0,0,12571.1,7108.79,16150,0,6843.86,1920567.03,117931.67,193990.39,592000,0,0,72493,41871,5737.5,13355.97,500,0,0,0,0,2906,0,0,0,5776,58394,759.92,0,0,0,0,0,0,0,0,0,0,0,0,19560,891291.27,3802895,0,0,160.1,2140,3.6,30.6,30.4,38313,38313,7829,8051,0,0,30262,222,30262,3834,3995,0,2.1932
3,Albania,2020,1114.672,1827.362,1.639371941,0,0,0,0,102167,5143,0,0,0,0,0,0,12645,25762,0,0,0,208.81,130.22,0,0,64951,0,50164,11794,0,0,0,0,0,1426.43,7206,0,20471,5616,0,0,0,103056,0,0,0,0,0,0,0,0,113685,0,14571,0,4093.24,2571.34,600.13,4851.86,0,0,0,34680,3320,0,600.13,21889,0,0,0,0,299.99,0,199069,0,20722,0,0,0,915262.13,1810.08,0,0,0,0,0,0,0,0,36422,4589.88,0,25155,0,0,0,399125,0,0,0,0,0,32869.95,12233.91,0,0,8142.59,0,0,0,9002.01,0,0,15525.95,1553.51,0,0,0,100,0,4599.17,0,0,35579,0,8121.39,131971,104333,49427,12436,11764,0,16,0,3345,156.35,9372,0,0,716.02,349.33,0,0,0,28706,0,20392,14346,0,5727,0,0,0,0,0,0,0,41708,0,0,254886,22315,0,5064,0,0,0,0,0,6822.07,1928.51,4528.4,0,0,924270,82600,80194.26,0,3244,0,807.75,0,905.68,2831,0,0,0,0,17848.67,441,26257,5446,0,26964,0,1259,0,0,32159,0,0,313109,0,0,0,1438,0,1859.38,0,248724,233430,0,0,117.5,2488,0,7.7,4.4,1165.555,1167.345,599.6,687.555,1.79,0,0,87.955,478,196.6,178,225,42.04883333
4,Albania,2021,1090.487,1854.317,1.700448515,0,0,0,0,111247.2,5056.7,0,0,0,0,0,0,15310,22418,0,0,0,207.72,127.63,0,0,69126.9,0,50669.1,10080.4,0,0,0,0,0,1376.18,7317.7,0,22049.9,5090.7,0,0,0,99334.9,0,0,0,0,0,0,0,0,118171,0,14454.5,0,3949.04,2276.21,624.67,4914.06,0,0,0,35425.1,3320,0,624.67,24095.46,0,0,0,0,265.56,0,212011,0,18520.5,0,0,0,955483,1809.91,0,0,0,0,0,0,0,0,36937.6,4910.7,0,23619.5,0,0,0,414270.8,0,0,0,0,0,31712,13250,0,0,7208,0,0,0,9370,0,0,15725,1236,0,0,0,100,0,4834.86,0,0,33082,0,8154.18,110164.5,108276.2,49910.9,12724.7,13082.6,0,13.5,0,3133.8,161.12,9899,0,0,716.44,350.99,0,0,0,29395.9,0,20611.8,14243.7,0,7856.1,0,0,0,0,0,0,0,41186.1,0,0,258862,30911.6,0,5001,0,0,0,0,0,6581.74,1707.16,4586.46,0,0,885160,82580,75670,0,3293,0,803.67,0,917.29,2632.1,0,0,0,0,17857.77,373,25531.8,5723.3,0,24422,0,925.5,0,0,32835.8,0,0,314470.1,0,0,0,1620.3,0,1883.55,0,270944.1,225170.9,0,0,122.09,2489,0,7.5,4.3,1136.33,1138.2,599.9,687.53,1.87,0,0,87.63,448.8,200.9,179.3,219.7,37.40233333
5,Albania,2022,1066.667,1879.873,1.762380387,0,0,0,0,103645,5500,0,0,0,0,0,0,19014,21770,0,0,0,207.91,130.17,0,0,66696,0,56420.7,9538.8,0,0,0,0,0,1290.44,7676,0,24357,6022,0,0,0,97017.5,0,0,0,0,0,0,0,0,129896.1,0,14868,0,3703.01,2454,566.72,5347.95,0,0,0,33889.5,3320,0,566.72,23464,0,0,0,0,286.3,0,217883,0,19038.7,0,0,0,825392,1820.51,0,0,0,0,0,0,0,0,39124.5,5782,0,36379,0,0,0,401419,0,0,0,0,0,29736.3,16335.57,0,0,7771,0,0,0,8500.8,0,0,17113.43,1211,0,0,0,100,0,5390.67,0,0,34157,0,8094.37,157710,108913.2,51546.6,14294,13203,0,11,0,3186,164.65,11561,0,0,722.41,351.39,0,0,0,38802.5,0,22472,14975,0,8782,0,0,0,0,0,0,0,45141,0,0,262673,30002.2,0,5330,0,0,0,0,0,6171.69,1840.5,4991.42,0,0,849690.26,78478.79,71103.99,0,3115,0,798.23,0,998.28,2341,0,0,0,0,17979.12,686,29640,6290,0,21253,0,789,0,0,35161,0,0,315057.3,0,0,0,1792,0,1877.86,0,256798.2,233145,0,0,136.46,2490,0,8.2,4.5,1135.6,1137.59,598.1,686.4,1.99,0,0,88.2,449.2,198.8,181.6,217.7,28.05686667
6,Algeria,2020,11382.345,31950.91,2.807058651,0,0,60832,0,566823.5,187273.2,0,126762.2,0,0,0,234.99,1213137,2047.8,0,0,0,49856.7,287235.1,0,0,124204.1,0,0,447595.3,0,0,0,0,0,2773.96,242990.2,0,11207,0,39888.9,0,15193.64,717659,0,0,0,0,0,0,0,0,184362,0,1151909.3,0,21636.9,7400.54,11.28,42375.48,2148.08,1.56,0,178416.8,0,437.57,21.89,116143,0,0,0,0,1110.08,0,554201.1,0,170929.6,12354.6,0,0,6477585.45,0,13.9,0,0,0,0,0,0,0,0,85303,12111.8,0,0,3280,0,3221,0,0,0,0,14718.3,144246,489650,0,0,37002.7,0,0,0,111.15,0,8199.87,334903,41106,0,0,0,1161.96,0,5377,0,0,69385,0,0,1079508,1665671.1,353.21,1174845.2,100308.3,0,615.02,0,133801.3,0,0,0,0,115,0,26534,0,0,1458964.6,0,186444.1,154860.5,11026.8,209409.4,0,0,0,0,0,0,0,98908.3,1722,0,4659482,435326.5,0,11748,0,0,23133.28,0,0,17475.96,7400.54,52627.61,0,14897.82,2414552,332793,592306,308.47,0,0,78.78,0,8201.71,37890,0,0,0,256,0,0,0,0,0,0,0,87.82,0,0,302476,0,0,1635616.3,269,0,0,11496,0,77.81,0,2286809.1,3106754,0,0,111.86,2299,0,6.2,2.5,41287.891,41287.891,7530.6,8481.391,0,54,32752.5,950.791,32806.5,4682,2848.6,0,-1.7128
7,Algeria,2021,11317.455,32651.848,2.885087504,0,0,55448,0,522317,189724,0,120932,0,0,0,232.73,555364,3613,0,0,0,39629,277353,0,0,158045,0,0,414322,0,0,0,0,0,2812.88,238712,0,11178,0,38818,0,15279.63,351832,0,0,0,0,0,0,0,0,182890,0,1188803,0,21940.5,7667.72,11.11,43310.8,2140.06,1.94,0,192893,0,435.94,21.55,107266,0,0,0,0,1150.16,0,630022,0,195976,15840,0,0,6410010.6,0,17.3,0,0,0,0,0,0,0,0,84018,7998,0,0,3219,0,18491,0,0,0,0,14663.4,146270,392275,0,0,38338.6,0,0,0,109.4,0,8212.52,342295,26286,0,0,0,1141.93,0,5165,0,0,40461,0,0,704619,1710595,354.08,1137191,87948,0,620.63,0,125248,0,0,0,0,115,0,28736,0,0,1467569,0,186072,149780,8269,204415,0,0,0,0,0,0,0,97056,1814,0,4360880,404851,0,8538,0,0,23044.39,0,0,17721.17,7667.72,53789.21,0,15195.54,2409291,314117,524908,305.92,0,0,80.07,0,8382.73,33459,0,0,0,386,0,0,0,0,0,0,0,88.5,0,0,290424,0,0,1641636,615,0,0,9427,0,74.95,0,2075874,2168386,0,0,123.19,2300,0,5.6,2.5,41277.037,41277.037,7530.6,8470.537,0,54,32752.5,939.937,32806.5,4682,2848.6,0,-0.447066667
8,Algeria,2022,11247.753,33336.714,2.963855447,0,0,66232.31,0,549391.71,205996.35,0,124352.88,0,0,0,236.75,1000000,2744.52,0,0,0,44653.39,285541.97,0,0,155681.73,0,0,422239.98,0,0,0,0,0,2692.31,241933.28,0,11160.32,0,38576.89,0,15348.29,497430.72,0,0,0,0,0,0,0,0,190051.57,0,1244466.87,0,21000,7774.57,10.96,43786.96,2210.26,1.79,0,205105.9,0,450.24,21.27,115170.35,0,0,0,0,1166.19,0,619317.68,0,202003.85,17913.78,0,0,6550532.12,0,16,0,0,0,0,0,0,0,0,85874.62,5708.99,0,0,3387,0,11000,0,0,0,0,15144.38,140000,407744.31,0,0,38872.83,0,0,0,108,0,8224.27,346058.26,35526.94,0,0,0,1169.21,0,5706.69,0,0,81000,0,0,847031.81,1759854.81,352.15,1245387.71,90269.65,0,617.84,0,117832.23,0,0,0,0,126,0,29713.52,0,0,1538930.71,0,190641.64,170989.82,9733.79,203460.2,0,0,0,0,0,0,0,98807.74,1776.47,0,4356127.74,398854.15,0,8852.98,0,0,23155.48,0,0,16961.54,7774.57,54380.58,0,14884.24,2433986.67,324463.67,547145.33,307.49,0,0,80.7,0,8474.9,33741.94,0,0,0,951.17,0,0,0,0,0,0,0,88.72,0,0,297569.13,0,0,1653903.79,539.88,0,0,10084.2,0,76.9,0,2074242.92,3000000,0,0,139.68,2303,0,5.6,2.5,41310.121,41310.121,7530.6,8503.621,0,54,32752.5,973.021,32806.5,4682,2848.6,0,-2.0907
9,Angola,2020,10890.448,21936.953,2.014329714,0,0,0,0,0,0,0,0,0,52488,0,4204538,0,344762,2318.99,0,0,0,0,0,0,304255,0,0,144240,2143.58,0,0,9592870,4179.23,3533.37,0,0,0,0,0,0,0,0,0,0,456.16,0,13105.14,0,0,0,0,0,0,0,16627.6,2285.91,5942,620.45,0,0,0,0,0,0,7092.07,0,0,0,9433.41,0,374.06,0,0,0,11136,223976,0,0,1517161.35,0,0,0,0,0,0,825.99,0,0,0,0,0,0,0,0,0,2972177,248036,0,0,0,0,103922.52,50955.99,0,0,18702.94,0,0,0,153341.96,0,0,4577.11,0,0,55000,0,0,0,23465.38,0,0,0,281496.76,0,0,0,605998,0,0,0,436086,0,39867.6,0,0,0,0,0,0,0,0,0,361279.87,0,0,0,0,0,0,0,0,0,637630,0,0,0,0,0,480560,0,0,0,0,0,0,0,0,15172.69,1246.86,620.45,0,0,219304.59,0,0,10567,0,0,3400,3243.17,122.06,0,0,545.61,0,34991,0,37961,0,0,0,0,865000,12144.25,1749832,0,0,0,0,589664,0,0,0,2824.05,0,0,0,0,4375,0,0,293.73,2143,0,30.4,20.5,45892,45892,5368,5685,0,0,0,317,40207,4144.5161,636.0393,587.4446,-0.929533333
